Binomial,Sex,VolumeUVS,VolumeVS,LociUVS,LociVS,MidpointLat,Temp,Precip,NPP,SolarRad,UVB,BodyMass,Dichro,ForestDep,FruitNect,Migratory,GroundNest,Territorial,CoexistSpp,MatingSys
Acropternis_orthonyx,F,0.000439813,0.000563343,83.16249155,76.4852927,2.735576317,176.6240039,1841.671853,10366.39582,181822.2632,5979.652867,31495.81886,0,1,0,0,0,1,305.1743119,NA
Actinodura_egertoni,M,0.000718896,0.000565021,84.68975714,72.28641061,32.34153962,171.0370521,2002.344305,9453.916958,199715.8588,4594.681446,3832.824536,0,1,0,0,0,1,264.675,NA
Actinodura_egertoni,F,0.000733739,0.000704201,74.1831354,67.43065581,32.34153962,171.0370521,2002.344305,9453.916958,199715.8588,4594.681446,3832.824536,0,1,0,0,0,1,264.675,NA
Actinodura_morrisoniana,M,0.001085304,0.001372717,99.42334778,94.00030179,29.49868248,189.6407711,2560.615937,8378.651806,184763.6957,3790.971007,1502.460448,0,1,0,0,0,1,85.28571429,NA
Actinodura_morrisoniana,F,0.000733833,0.000660374,97.80692236,89.6753737,29.49868248,189.6407711,2560.615937,8378.651806,184763.6957,3790.971007,1502.460448,0,1,0,0,0,1,85.28571429,NA
Actinodura_nipalensis,M,0.000728417,0.000699317,92.60828808,79.56140187,34.415636,111.1836472,1381.663681,6308.193631,202921.8783,5243.636964,6042.695568,0,1,0,0,0,1,253.7349398,NA
Actinodura_nipalensis,F,0.000792755,0.000709365,90.60205412,80.66118701,34.415636,111.1836472,1381.663681,6308.193631,202921.8783,5243.636964,6042.695568,0,1,0,0,0,1,253.7349398,NA
Actinodura_ramsayi,M,0.000578575,0.000558833,72.44172884,60.74813285,26.67621115,212.4365742,1529.206425,9283.096193,192345.4671,4432.881283,4446.90099,0,1,0,1,0,1,204.5547445,NA
Actinodura_ramsayi,F,0.000849635,0.000785124,77.57892757,65.32148427,26.67621115,212.4365742,1529.206425,9283.096193,192345.4671,4432.881283,4446.90099,0,1,0,1,0,1,204.5547445,NA
Actinodura_souliei,M,0.000958383,0.001301437,91.19957807,80.8870549,32.02025249,144.6249868,1196.037343,8367.804092,166561.1758,4331.586145,4701.558162,0,1,0,1,0,1,225.5346535,NA
Actinodura_souliei,F,0.00140672,0.00122377,98,87,32.02025249,144.6249868,1196.037343,8367.804092,166561.1758,4331.586145,4701.558162,0,1,0,1,0,1,225.5346535,NA
Actinodura_waldeni,M,0.000743349,0.000649314,87.58308299,75.84177609,31.78042851,171.6170098,1822.010265,9880.554511,195132.9661,4666.664584,6988.538419,0,1,0,1,0,1,248.5555556,NA
Actinodura_waldeni,F,0.001290751,0.000961595,92.6221226,77.97040297,31.78042851,171.6170098,1822.010265,9880.554511,195132.9661,4666.664584,6988.538419,0,1,0,1,0,1,248.5555556,NA
Aegithalos_caudatus,M,0.000607311,0.000534116,65.21240182,52.55422968,55.14323561,37.86601065,636.7197465,4558.871904,146059.6926,1947.426909,141.8280733,0,1,0,0,0,1,79.73849905,NA
Aegithalos_caudatus,F,0.001116666,0.000822233,72.2497755,56.77411371,55.14323561,37.86601065,636.7197465,4558.871904,146059.6926,1947.426909,141.8280733,0,1,0,0,0,1,79.73849905,NA
Aegithalos_concinnus,M,0.000759964,0.000814033,101.3406139,87.72573009,32.93362379,167.5735898,1403.087182,7235.146831,179891.6723,3890.777676,64.31151952,0,1,0,0,0,1,165.6265865,NA
Aegithalos_concinnus,F,0.001124311,0.00090246,105.9345151,92.28894662,32.93362379,167.5735898,1403.087182,7235.146831,179891.6723,3890.777676,64.31151952,0,1,0,0,0,1,165.6265865,NA
Aegithalos_fuliginosus,M,0.00056892,0.000466469,65.14555154,57.61326132,38.40572402,102.2724473,947.4878157,5747.441537,154979.585,3558.29889,53.90828864,0,1,0,0,0,1,177.9148936,NA
Aegithalos_fuliginosus,F,0.00049398,0.000345198,58.88303938,49.96530927,38.40572402,102.2724473,947.4878157,5747.441537,154979.585,3558.29889,53.90828864,0,1,0,0,0,1,177.9148936,NA
Aegithalos_iouschistos,M,0.000914683,0.000740127,96.24330644,78.97013238,34.71412026,79.42129279,1032.795336,5902.874236,177313.1002,5491.163905,88.28972193,0,1,0,0,0,1,231.6505376,NA
