id,lat,lon,perc_forest
592,43.6651,-103.3862,15.5
593,34.8011,-90.2899,15.25
594,41.366,-88.0937,25.8333333333333
595,21.485,-11.4069,0
596,30.0611,34.7735,0
597,33.947,9.111,0
598,26.8071,70.8024,0
599,22.532,59.8,0
600,-22.5589,14.5179,0
601,-20.808,14.298,0
602,15.3534,73.9622,32
603,15.3484,73.9661,26.3333333333333
604,21.56,71.321,11.7
605,-4.037,-79.93,86.75
606,0.863,-78.067,100
607,-15.25,-67.167,100
608,-2.5667,-79.3334,88.7777777777778
609,1.3001,-78.0834,100
610,-11.6355,-74.7948,31.625
611,-0.131,-78.586,93.8888888888889
612,8.609,-71.0563,100
613,-0.112,-78.585,83.25
614,-4.484,-79.128,80
615,-5.822,-77.964,7.25
616,-5.7009,-77.8123,91.5
618,-21.1945,47.3722,48.4444444444445
619,-18.449,47.937,66.1
620,-21.2714,47.3503,80.625
621,-21.2617,47.4228,100
622,-21.26,47.42,97.3333333333333
623,34.186,-116.9004,47.0833333333333
624,35.3809,-118.1124,0
625,31.9204,-116.0709,0
626,32.7963,-116.48,53.1111111111111
627,30.971,-115.74,0
628,39.0245,-108.629,10.7777777777778
629,33.2253,-116.3085,0
630,31.827,-109.0489,3.375
631,31.906,-109.1543,23.7
632,37.468,-109.224,0
633,-27.7778,138.7123,0
634,-29.2439,140.065,0
635,-32.4439,136.0508,1.875
636,-23.7094,133.8133,7.88888888888889
637,-34.6887,142.2725,42.5
638,-34.6926,142.2703,34.7
639,-34.6872,142.382,17.5555555555556
640,-25.797,113.716,7.625
641,-27.0214,-50.0139,86.8571428571429
642,-27.1737,-49.2151,96.8888888888889
643,-24.2601,-48.4073,100
644,-10.6769,-74.0635,100
645,4.66307,-75.6388,100
646,10.3031,-68.2269,97.5
647,11.1001,-74.0667,100
648,-17.1667,-65.5834,96
649,15.0294,-86.7951,51
650,17.6666666667,-96.3333333333,100
651,0.834,-78.545,94.375
652,15.552,-88.296,70.375
653,-12.5777,-71.2597,100
654,-12.3,-70.8,100
655,-0.504,-76.406,35.7777777777778
656,-9.5981,-55.932,81.375
657,-11.8667,-71.3667,100
658,-23.9557,-46.6503,97.5
659,-14.3834,-40.1001,84
660,-23.1945,-44.8373,100
661,-24.2667,-48.4001,98.2222222222222
662,-27.367,-49.337,91.7777777777778
663,4.6231,-74.0562,65
664,-3.6795,-79.2376,67
665,4.5167,-73.7501,27.4444444444444
666,4.5288,-73.9778,56.375
667,-13.1026,-72.372,80.5714285714286
668,-14.68333333,-69.1,6
669,-16.8917,-67.1417,24
670,-8.8333333333,-77.9166666667,0
671,-15.6191,-71.9879,0
672,-4.3667,-79.7501,87.625
673,-9.1666666667,-77.6666666667,8.22222222222222
674,-7.1001,-78.4167,8.33333333333333
675,-4.364555,-79.705811,39
676,-7.3948,-78.7778,100
677,-3.6795,-79.2376,67
678,-16.867,-67.2,91.75
679,-15.3333333333,-70.4166666667,0
680,-16.949,-66.836,31.5
681,-14.6833,-69.1,6
682,-13.13333,-76.4,14.2
683,-11.6666666667,-76.5,7.55555555555556
684,-11.7462,-76.6053,16.1111111111111
685,-10.8954,-68.3632,100
686,-12.65,-71.2333333333,100
687,-0.641,-76.461,98.125
688,-3.6,-73.15,0
689,-0.498,-76.373,71.3333333333333
690,-0.2649,30.16,100
691,-0.989,29.616,76.3333333333333
692,5.1844,-3.4834,15
693,0.2226,34.8979,100
694,0.3575,30.3851,100
695,0.4459,30.3901,100
696,5.0498,8.7798,100
697,0.501,30.4265,94.1111111111111
698,0.6002,35.7874,75
699,0.8257,30.1611,87.75
700,5.3536,-1.384,95.1428571428571
701,5.387,-4.0533,100
702,5.3703,-1.3626,100
703,-15.9259,29.0292,18.25
704,-1.1367,37.2564,27.625
705,-6.4589,38.992,0
706,-23.805785,29.931543,100
707,-25.294992,33.253555,0
708,-0.3882,36.96,64.375
709,-8.5166667,35.8666667,64.5
710,-5.1008333,38.6297222,91.5
711,-19,33,25.7777777777778
712,-3.4814,38.343,81.375
713,-15.3541,35.3024,85.1111111111111
714,6.0907,10.2974,65.625
715,-7.7834,36.4995,94.9
716,-10.7105,33.6381,46.8888888888889
717,-4.8223,38.4997,100
718,-6.3761,36.9375,100
719,-7.7501,36.5001,93
720,-0.2725,30.0592,41.375
721,6.179,-8.144,100
722,5.33,-1.38,37.25
723,-15.3541,35.3024,85.1111111111111
724,2.3939,9.8928,100
725,-9.75,-76.25,24.5555555555556
726,-0.994,-78.288,100
727,-0.1091,-78.5845,27.1111111111111
728,4.8069,-73.7805,67.5
730,-9.6666666667,-76.0833333333,100
731,11.16667,-74.11667,100
732,-0.017,-78.685,96
733,0.783,-78.533,62.75
734,5.7289,-76.2439,100
735,0.7889,-78.1351,100
736,-17.8367,-64.7053,91.375
737,-18.2333333333,-65,0
738,-13.4151,-70.9167,100
739,7,-75.4482,32.2222222222222
740,-0.017,-78.685,96
741,-33.166,151.065,80.9
742,-34.0833,151.0833,100
743,-33.4918,151.2259,100
744,-42.8659,147.332,29.3636363636364
745,-31.924,115.8666,1.8
